Domain;Total Visits;Average m Visits;Italy Percentage;Pages per View;6m Pageviews Italy;Source Direct;Source Mail;Source Referral;Source Social;Source Organic;Source Paid Search;Source Paid Display;IP1;IP2;IP3
megafilmesonline.net;68200000;68202276.0;0.1;4.65;317140;15.45;0.12;10.35;1.24;71.99;0.0;0.85;104.27.159.147;104.27.158.147;
megogo.net;116800000;116764062.0;0.17;3.12;619316;19.22;0.66;28.99;1.5;39.91;1.1;8.61;193.187.77.50;;
metacritic.com;163800000;163755666.0;1.96;2.63;8441277;40.83;0.36;10.93;2.12;45.71;0.0;0.04;184.73.243.78;23.23.171.117;
mitele.es;99700000;99706242.0;0.33;3.27;1075930;34.48;0.54;36.14;2.09;26.26;0.0;0.48;213.4.97.110;;
movie-blog.org;49600000;49577832.0;0.55;7.21;1966008;77.64;0.13;17.1;0.58;4.52;0.0;0.02;104.28.7.12;104.28.6.12;
movie.douban.com;323900000;323851314.0;0.08;8.21;2127055;19.73;0.23;41.04;0.91;38.09;0.0;0.01;211.147.4.32;211.147.4.49;211.147.4.31
movie.naver.com;108500000;108502680.0;0.04;3.24;140619;7.23;0.11;91.29;0.46;0.89;0.0;0.02;125.209.210.121;;
movie2free.com;157400000;157355406.0;0.04;3.8;239180;38.24;0.01;3.55;0.93;56.69;0.0;0.58;104.27.198.93;104.27.197.93;
movie4k.to;228100000;228073770.0;0.2;4.98;2271614;67.09;0.23;21.19;1.21;9.69;0.0;0.59;104.31.18.30;104.31.19.30;
moviepilot.com;152900000;152929116.0;0.71;1.35;1465825;7.37;0.06;1.64;55.35;34.73;0.0;0.84;104.156.81.68;23.235.37.68;104.156.85.68
moviepilot.de;67099999;67055694.0;0.6;2.76;1110442;22.04;0.07;5.02;24.67;48.06;0.0;0.15;144.76.229.20;;
movieplayer.it;14700000;14674488.0;92.29;1.86;25190138;19.0;0.13;7.75;15.79;57.24;0.0;0.1;2.228.46.107;2.228.46.115;
movies.yahoo.com;103300000;103261530.0;0.01;10.05;0;20.45;0.79;64.6;6.77;7.05;0.0;0.34;217.12.1.156;217.12.1.155;
mtime.com;82000000;82028358.0;0.05;5.34;219015;42.3;0.31;15.9;1.06;40.4;0.0;0.04;59.151.32.20;;
mtv.com;208200000;208161870.0;0.81;4.6;7756111;15.02;0.24;9.22;38.11;37.05;0.01;0.36;129.228.33.192;;
mtv.it;30100000;30086856.0;82.39;2.18;54039062;8.33;0.03;3.29;12.34;75.86;0.0;0.15;206.220.43.92;;
multiplayer.it;31600000;31575306.0;94.89;2.99;89585805;57.34;0.47;7.4;5.15;29.58;0.0;0.06;2.228.46.112;2.228.46.105;
my-hit.org;295100000;295114242.0;0.56;3.3;5453711;41.29;0.57;18.74;2.04;37.3;0.0;0.06;46.183.150.253;;
myanimelist.net;345000000;345037056.0;1.3;4.72;21171473;39.18;0.37;14.56;5.71;40.12;0.0;0.06;52.34.252.101;50.112.69.198;
mycanal.fr;79900000;79912206.0;0.06;4.24;203296;34.48;1.16;54.44;1.43;8.34;0.08;0.07;194.4.244.50;;
mymovies.it;69700000;69738738.0;94.59;2.49;164255021;21.22;0.52;11.13;1.25;65.76;0.0;0.11;89.96.155.103;89.96.155.101;89.96.155.99
nationalgeographic.com;200100000;200113554.0;1.09;3.43;7481645;27.69;0.95;9.48;26.29;35.23;0.19;0.17;216.146.46.11;216.146.46.10;
nbc.com;113900000;113910516.0;0.27;2.74;842709;34.14;0.66;18.45;6.08;40.36;0.2;0.12;23.64.128.174;;
netflix.com;7500000000;7520296236.0;0.88;4.96;328245890;71.66;0.68;19.14;0.92;7.53;0.0;0.07;54.247.120.228;54.247.67.231;54.247.162.66
newgrounds.com;108300000;108295854.0;1.2;3.77;4899304;40.82;0.23;16.07;4.94;37.61;0.0;0.33;104.20.28.55;104.20.29.55;
newmovie-hd.com;97700000;97686762.0;0.01;3.66;0;18.3;0.05;13.37;3.09;64.54;0.0;0.65;104.27.196.93;104.27.195.93;
nhk.or.jp;294200000;294163926.0;0.09;2.97;786300;40.35;0.63;14.54;13.51;30.92;0.0;0.04;;;
nicovideo.jp;1700000000;1707417864.0;0.03;7.26;3718756;41.82;0.63;35.25;5.92;13.94;0.07;2.37;202.248.110.184;;
nos.nl;140600000;140601198.0;0.06;4.01;338286;68.15;0.37;12.62;7.37;11.48;0.0;0.01;145.58.29.114;145.58.28.175;
nosub.tv;88400000;88398204.0;0.01;3.31;0;44.02;0.42;50.6;1.29;3.64;0.0;0.03;108.61.182.108;;
nova.cz;75600000;75590172.0;0.11;4.16;345900;32.24;0.54;14.87;29.92;22.3;0.0;0.13;176.122.40.171;;
nowvideo.li;118700000;118701414.0;91.28;3.51;380310783;8.5;0.3;85.46;1.46;1.07;0.0;3.2;37.46.121.215;37.46.121.235;37.46.121.240
